what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1434636087443
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1434636128320
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1434636130382
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1434636131804
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1434636135468
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1434636136290
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1434636151396
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1434636189551
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1434636203828
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1434636219930
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1434636428935
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1434636432190
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1434636441022
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1434636446054
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1434636449319
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1434636496527
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1434636507106
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1434636509575
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1434636513908
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1434636564679
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1434636634686
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1434636721916
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1434636726257
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1434636775572
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1434636782026
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1434636787983
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1434636790391
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1434636814711
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1434636816081
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1434636816351
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1434636818132
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1434636820113
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1434636825820
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1434636846984
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1434636881895
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1434636891855
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1434636893575
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1434636901178
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1434636925903
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1434636928000
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1434636940972
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1434636946557
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1434636948111
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1434636953801
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1434636969489
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1434636979703
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1434636981285
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1434636986846
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1434637008452
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1434637082571
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1434637088759
